time_elapsed,mode,fps,inference_ms,confidence
1.09,heuristic,1.1,0.0,0.0
1.16,heuristic,42.6,0.0,0.0
1.23,heuristic,45.4,0.0,0.0
1.37,heuristic,43.6,0.0,0.0
1.49,heuristic,45.3,0.0,0.0
1.55,heuristic,48.6,0.0,0.0
1.61,heuristic,49.6,0.0,0.0
1.68,heuristic,38.9,0.0,0.0
1.74,heuristic,50.7,0.0,0.0
1.81,heuristic,36.7,0.0,0.0
1.88,heuristic,44.3,0.0,0.0
1.95,heuristic,48.6,0.0,0.0
2.02,heuristic,49.3,0.0,0.0
2.08,heuristic,44.8,0.0,0.0
2.16,heuristic,47.4,0.0,0.0
2.22,heuristic,55.7,0.0,0.0
2.28,heuristic,53.1,0.0,0.0
2.34,heuristic,45.8,0.0,0.0
2.4,heuristic,47.9,0.0,0.0
2.47,heuristic,45.2,0.0,0.0
2.53,heuristic,43.8,0.0,0.0
2.6,heuristic,41.6,0.0,0.0
2.67,heuristic,37.1,0.0,0.0
2.73,heuristic,48.6,0.0,0.0
2.79,heuristic,45.6,0.0,0.0
2.86,heuristic,40.8,0.0,0.0
2.93,heuristic,47.3,0.0,0.0
3.0,heuristic,38.2,0.0,0.0
3.07,heuristic,42.0,0.0,0.0
3.13,heuristic,48.4,0.0,0.0
3.2,heuristic,47.4,0.0,0.0
3.27,heuristic,46.7,0.0,0.0
3.34,heuristic,42.6,0.0,0.0
3.41,heuristic,50.0,0.0,0.0
3.48,heuristic,41.2,0.0,0.0
3.56,heuristic,37.9,0.0,0.0
3.64,heuristic,34.8,0.0,0.0
3.71,heuristic,40.2,0.0,0.0
3.78,heuristic,48.6,0.0,0.0
3.85,heuristic,46.4,0.0,0.0
3.92,heuristic,39.9,0.0,0.0
4.01,heuristic,33.7,0.0,0.0
4.08,heuristic,41.6,0.0,0.0
4.16,heuristic,36.6,0.0,0.0
4.23,heuristic,38.5,0.0,0.0
4.31,heuristic,42.5,0.0,0.0
4.39,heuristic,38.3,0.0,0.0
4.47,heuristic,38.5,0.0,0.0
4.56,heuristic,26.5,0.0,0.0
4.64,heuristic,35.6,0.0,0.0
4.72,heuristic,43.3,0.0,0.0
4.79,heuristic,47.5,0.0,0.0
4.89,heuristic,25.6,0.0,0.0
4.98,heuristic,40.3,0.0,0.0
5.06,heuristic,42.4,0.0,0.0
5.14,heuristic,38.2,0.0,0.0
5.21,heuristic,44.9,0.0,0.0
5.29,heuristic,41.0,0.0,0.0
5.37,heuristic,39.3,0.0,0.0
5.44,heuristic,37.2,0.0,0.0
5.52,heuristic,38.4,0.0,0.0
5.6,heuristic,38.2,0.0,0.0
5.68,heuristic,40.9,0.0,0.0
5.75,heuristic,43.9,0.0,0.0
5.85,heuristic,26.8,0.0,0.0
5.93,heuristic,38.8,0.0,0.0
6.0,heuristic,40.9,0.0,0.0
6.08,heuristic,41.8,0.0,0.0
6.16,heuristic,41.1,0.0,0.0
6.23,heuristic,45.5,0.0,0.0
6.31,heuristic,40.1,0.0,0.0
6.38,heuristic,40.0,0.0,0.0
6.45,heuristic,39.7,0.0,0.0
6.53,heuristic,36.0,0.0,0.0
6.6,heuristic,41.6,0.0,0.0
6.67,heuristic,39.5,0.0,0.0
6.75,heuristic,37.5,0.0,0.0
6.82,heuristic,39.6,0.0,0.0
6.89,heuristic,43.8,0.0,0.0
6.96,heuristic,30.0,0.0,0.0
7.04,heuristic,37.4,0.0,0.0
7.11,heuristic,44.4,0.0,0.0
7.19,heuristic,38.1,0.0,0.0
7.27,heuristic,43.2,0.0,0.0
7.34,heuristic,31.1,0.0,0.0
7.41,heuristic,40.4,0.0,0.0
7.47,heuristic,40.6,0.0,0.0
7.54,heuristic,37.0,0.0,0.0
7.61,heuristic,49.3,0.0,0.0
7.68,heuristic,38.1,0.0,0.0
7.76,heuristic,40.6,0.0,0.0
7.83,heuristic,41.8,0.0,0.0
7.91,heuristic,42.7,0.0,0.0
7.99,heuristic,44.7,0.0,0.0
8.07,heuristic,32.4,0.0,0.0
8.14,heuristic,51.5,0.0,0.0
8.2,heuristic,45.8,0.0,0.0
8.27,heuristic,43.7,0.0,0.0
8.34,heuristic,53.2,0.0,0.0
8.41,heuristic,45.2,0.0,0.0
8.47,heuristic,42.7,0.0,0.0
8.55,heuristic,36.8,0.0,0.0
8.63,heuristic,40.4,0.0,0.0
8.71,heuristic,40.0,0.0,0.0
8.79,heuristic,37.0,0.0,0.0
8.86,heuristic,46.8,0.0,0.0
8.92,heuristic,43.3,0.0,0.0
8.99,heuristic,40.4,0.0,0.0
9.06,heuristic,39.3,0.0,0.0
9.14,heuristic,43.4,0.0,0.0
9.22,heuristic,39.3,0.0,0.0
9.3,heuristic,41.2,0.0,0.0
9.37,heuristic,42.6,0.0,0.0
9.45,heuristic,41.8,0.0,0.0
9.52,heuristic,43.4,0.0,0.0
9.6,heuristic,41.7,0.0,0.0
9.68,heuristic,49.3,0.0,0.0
9.75,heuristic,39.2,0.0,0.0
9.81,heuristic,42.4,0.0,0.0
9.88,heuristic,44.9,0.0,0.0
9.95,heuristic,37.2,0.0,0.0
10.02,heuristic,51.5,0.0,0.0
10.09,heuristic,36.0,0.0,0.0
10.16,heuristic,39.8,0.0,0.0
10.24,heuristic,41.4,0.0,0.0
10.32,heuristic,42.3,0.0,0.0
10.4,heuristic,40.8,0.0,0.0
10.47,heuristic,49.7,0.0,0.0
10.54,heuristic,40.8,0.0,0.0
10.61,heuristic,49.3,0.0,0.0
10.68,heuristic,41.2,0.0,0.0
10.75,heuristic,51.0,0.0,0.0
10.81,heuristic,48.7,0.0,0.0
10.88,heuristic,42.0,0.0,0.0
10.96,heuristic,40.1,0.0,0.0
11.04,heuristic,37.9,0.0,0.0
11.1,heuristic,42.4,0.0,0.0
11.18,heuristic,37.3,0.0,0.0
11.25,heuristic,42.8,0.0,0.0
11.32,heuristic,43.9,0.0,0.0
11.39,heuristic,48.3,0.0,0.0
11.46,heuristic,37.2,0.0,0.0
11.53,heuristic,40.0,0.0,0.0
11.61,heuristic,46.4,0.0,0.0
11.69,heuristic,41.5,0.0,0.0
11.77,heuristic,38.9,0.0,0.0
11.84,heuristic,49.6,0.0,0.0
11.9,heuristic,45.5,0.0,0.0
11.97,heuristic,39.6,0.0,0.0
12.04,heuristic,38.8,0.0,0.0
12.12,heuristic,42.3,0.0,0.0
12.19,heuristic,45.0,0.0,0.0
12.26,heuristic,41.9,0.0,0.0
12.34,heuristic,43.6,0.0,0.0
12.4,heuristic,46.4,0.0,0.0
12.46,heuristic,42.6,0.0,0.0
12.54,heuristic,50.0,0.0,0.0
12.6,heuristic,45.1,0.0,0.0
12.67,heuristic,40.8,0.0,0.0
12.74,heuristic,40.6,0.0,0.0
12.82,heuristic,45.9,0.0,0.0
12.88,heuristic,47.0,0.0,0.0
12.94,heuristic,47.5,0.0,0.0
13.01,heuristic,41.8,0.0,0.0
13.07,heuristic,41.2,0.0,0.0
13.14,heuristic,53.3,0.0,0.0
13.21,heuristic,40.9,0.0,0.0
13.29,heuristic,43.1,0.0,0.0
13.36,heuristic,41.5,0.0,0.0
13.44,heuristic,47.6,0.0,0.0
13.5,heuristic,44.3,0.0,0.0
13.56,heuristic,46.1,0.0,0.0
13.64,heuristic,42.3,0.0,0.0
13.72,heuristic,45.2,0.0,0.0
13.8,heuristic,43.2,0.0,0.0
13.87,heuristic,47.4,0.0,0.0
13.94,heuristic,35.5,0.0,0.0
14.01,heuristic,49.8,0.0,0.0
14.08,heuristic,39.9,0.0,0.0
14.15,heuristic,48.7,0.0,0.0
14.22,heuristic,43.7,0.0,0.0
14.3,heuristic,46.2,0.0,0.0
14.36,heuristic,41.8,0.0,0.0
14.43,heuristic,48.0,0.0,0.0
14.5,heuristic,44.5,0.0,0.0
14.59,heuristic,31.0,0.0,0.0
14.65,heuristic,41.9,0.0,0.0
14.73,heuristic,50.9,0.0,0.0
14.8,heuristic,33.1,0.0,0.0
14.87,heuristic,42.8,0.0,0.0
14.95,heuristic,48.8,0.0,0.0
15.01,heuristic,44.8,0.0,0.0
15.09,heuristic,38.7,0.0,0.0
15.16,heuristic,46.2,0.0,0.0
15.23,heuristic,38.6,0.0,0.0
15.31,heuristic,37.5,0.0,0.0
15.39,heuristic,29.4,0.0,0.0
15.47,heuristic,47.3,0.0,0.0
15.56,heuristic,28.0,0.0,0.0
15.65,heuristic,40.2,0.0,0.0
15.72,heuristic,43.7,0.0,0.0
15.8,heuristic,39.5,0.0,0.0
15.88,heuristic,45.5,0.0,0.0
15.94,heuristic,44.9,0.0,0.0
16.0,heuristic,44.6,0.0,0.0
16.08,heuristic,44.1,0.0,0.0
16.14,heuristic,53.4,0.0,0.0
16.21,heuristic,41.8,0.0,0.0
16.29,heuristic,37.5,0.0,0.0
16.36,heuristic,44.9,0.0,0.0
16.44,heuristic,42.4,0.0,0.0
16.51,heuristic,43.7,0.0,0.0
16.58,heuristic,35.3,0.0,0.0
16.66,heuristic,35.6,0.0,0.0
16.73,heuristic,48.4,0.0,0.0
16.79,heuristic,43.1,0.0,0.0
16.86,heuristic,42.6,0.0,0.0
16.92,heuristic,40.4,0.0,0.0
16.99,heuristic,45.9,0.0,0.0
